id,PM1,PM10,PM2_5,CH4,H2S,CO,flamGas
298,16,29,20,0,0,0,0
299,16,29,20,0,0,0,0
300,16,29,20,0,0,0,0
301,16,29,20,0,0,0,0
302,17,31,22,0,0,0,0
303,17,31,22,0,0,0,0
304,17,31,22,0,0,0,0
305,18,33,23,0,0,0,0
306,18,33,23,0,0,0,0
307,18,33,23,0,0,0,0
308,18,33,23,0,0,0,0
309,18,33,23,0,0,0,0
310,19,34,24,0,0,0,0
311,19,34,24,0,0,0,0
312,19,34,24,0,0,0,0
313,19,34,24,0,0,0,0
314,19,34,24,0,0,0,0
315,18,33,23,0,0,0,0
316,18,33,23,0,0,0,0
317,18,33,23,0,0,0,0
318,18,33,23,0,0,0,0
319,18,33,23,0,0,0,0
320,16,29,20,0,0,0,0
321,16,29,20,0,0,0,0
322,16,29,20,0,0,0,0
323,16,29,20,0,0,0,0
324,17,31,22,0,0,0,0
325,17,31,22,0,0,0,0
326,17,31,22,0,0,0,0
327,17,31,22,0,0,0,0
328,17,31,22,0,0,0,0
329,18,33,23,0,0,0,0
330,18,33,23,0,0,0,0
331,18,33,23,0,0,0,0
332,18,33,23,0,0,0,0
333,18,33,23,0,0,0,0
334,18,33,23,0,0,0,0
335,18,33,23,0,0,0,0
336,18,33,23,0,0,0,0
337,18,33,23,0,0,0,0
338,17,31,22,0,0,0,0
339,17,31,22,0,0,0,0
340,17,31,22,0,0,0,0
341,17,31,22,0,0,0,0
342,17,31,22,0,0,0,0
343,17,31,22,0,0,0,0
344,17,31,22,0,0,0,0
345,17,31,22,0,0,0,0
346,17,31,22,0,0,0,0
347,17,31,22,0,0,0,0
348,17,31,22,0,0,0,0
349,17,31,22,0,0,0,0
350,17,31,22,0,0,0,0
351,17,31,22,0,0,0,0
352,17,31,22,0,0,0,0
353,17,31,22,0,0,0,0
354,17,31,22,0,0,0,0
355,16,29,20,0,0,0,0
356,16,29,20,0,0,0,0
357,16,29,20,0,0,0,0
358,16,29,20,0,0,0,0
